Tue Jun 20 09:13:12 2017,691382_115.RoyalOttawa#10055_p1-2_150.HuntersPointe#10055_p1-2_539.CedarHill#20055_p1-2_568.Copetown#10055_p1-2_615.MarlwoodGolf#10055_p1-2_673.Hollinger#10055_p1-2_698.Dundee#10055_p1-2_715.Edmundston#10055_p1-2.pdf
Fri Jun 23 10:47:19 2017,691758_PL_691758_B-Text.pdf
Fri Jun 23 10:47:13 2017,691758_A-Cover.pdf
Fri Jun 23 10:47:19 2017,691758_B-Text.pdf
Fri Jun 23 10:57:11 2017,690714_690714_Cover_1.pdf
Fri Jun 23 10:58:39 2017,690714_690714_Cover_1.pdf
Fri Jun 23 10:58:39 2017,690714_690714_Cover_2.pdf
Fri Jun 23 10:57:11 2017,690714_Cover.pdf
Fri Jun 23 11:03:15 2017,691759-Env_00.pdf
Fri Jun 23 11:03:12 2017,691759-LH_00.pdf
Fri Jun 23 11:08:49 2017,690714_Cover.pdf
Fri Jun 23 11:15:52 2017,691417_691417_Eng_text_00_p3.pdf
Fri Jun 23 12:12:34 2017,687660_rev.pdf
Fri Jun 23 12:55:51 2017,691216_691216_p03_01_p1.pdf
Fri Jun 23 12:55:51 2017,691216_691216_p04_01_p1.pdf
Fri Jun 23 12:55:56 2017,691216_691216_p21_01_p1.pdf
Fri Jun 23 12:55:55 2017,691216_691216_p25_02_p1.pdf
Fri Jun 23 12:55:58 2017,691216_691216_p34_01_p1.pdf
Fri Jun 23 12:56:03 2017,691216_691216_p50_02_p1.pdf
Fri Jun 23 12:55:51 2017,691216_p03_01.pdf
Fri Jun 23 12:55:51 2017,691216_p04_01.pdf
Fri Jun 23 12:55:56 2017,691216_p21_01.pdf
Fri Jun 23 12:55:55 2017,691216_p25_02.pdf
Fri Jun 23 12:55:58 2017,691216_p34_01.pdf
Fri Jun 23 12:56:03 2017,691216_p50_02.pdf
Fri Jun 23 13:24:10 2017,691226_p04_01.pdf
Fri Jun 23 13:24:13 2017,691226_p10_01.pdf
Fri Jun 23 13:24:15 2017,691226_p38_01.pdf
Fri Jun 23 13:31:15 2017,691216_p01_01.pdf
Fri Jun 23 13:46:52 2017,687655_p 45_01.pdf
Fri Jun 23 13:46:55 2017,687655_p 71_01.pdf
Fri Jun 23 14:02:29 2017,691766_691766-ENV_00_p1.pdf
Fri Jun 23 14:05:26 2017,685649_p40_01.pdf
Fri Jun 23 14:05:23 2017,685649_p4_02.pdf
Fri Jun 23 14:05:33 2017,685649_pIBC_01.pdf
